product_id,manufacturer,product_name,catalog_number,model_number,research_state,confidence,identity_match_method,udi_assessment,listing_assessment,authorization_finding,manufacturer_finding,conflict_flags,rationale,unresolved_questions,proposed_human_review_disposition,source_urls,canonical_change_applied
PRD-02AD30BCD3,Pulmonx,Zephyr Endobronchial Valve,EBV-TS-4.0-LP,,historically_authorized_current_status_unresolved,moderate,exact_manufacturer_model_number,all_exact_configurations_active,exact_current_listing,exact_pma_approval,not_searched,,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: not_searched. Marketing authorization is documented separately, but current U.S. distribution is unresolved.",Is the historically authorized exact product currently distributed in the United States?,keep_hidden_insufficient_evidence,https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22EBV-TS-4.0-LP%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200811907030225%22&limit=100|https://api.fda.gov/device/pma.json?search=pma_number%3A%22P180002%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22NJK%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=pma_number%3A%22P180002%22&limit=100,false
PRD-0A72BF7A79,Pulmonx,Zephyr Delivery Catheter,EDC-TS-5.5-DM,,historically_authorized_current_status_unresolved,moderate,exact_manufacturer_model_number,all_exact_configurations_active,exact_current_listing,exact_pma_approval,not_searched,,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: not_searched. Marketing authorization is documented separately, but current U.S. distribution is unresolved.",Is the historically authorized exact product currently distributed in the United States?,keep_hidden_insufficient_evidence,https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22EDC-TS-5.5-DM%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200811907031222%22&limit=100|https://api.fda.gov/device/pma.json?search=pma_number%3A%22P180002%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22NJK%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=pma_number%3A%22P180002%22&limit=100,false
PRD-1062EA74E3,ERBE,"Bipolar Connecting Cable, STORZ MF, 4 m",20196-118,,historically_authorized_current_status_unresolved,moderate,exact_manufacturer_catalog_number,all_exact_configurations_active,exact_current_listing,exact_510k_clearance,not_searched,,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: not_searched. Marketing authorization is documented separately, but current U.S. distribution is unresolved.",Is the historically authorized exact product currently distributed in the United States?,keep_hidden_insufficient_evidence,https://us.erbe-med.com/fileadmin/user_upload/documents/PDF/Catalogs/complete_Catalogs/85100-100_EN_Product-catalog.pdf|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220196-118%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204050147007031%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220196-118%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K190823%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GEI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K190823%22&limit=100,false
PRD-19BAA6E1D6,ERBE,FiAPC plus Probe 3000 A with Filter,20132-323,,historically_authorized_current_status_unresolved,moderate,exact_manufacturer_catalog_number,all_exact_configurations_active,exact_current_listing,exact_510k_clearance,not_searched,,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: not_searched. Marketing authorization is documented separately, but current U.S. distribution is unresolved.",Is the historically authorized exact product currently distributed in the United States?,keep_hidden_insufficient_evidence,https://us.erbe-med.com/fileadmin/user_upload/documents/PDF/Catalogs/complete_Catalogs/85100-100_EN_Product-catalog.pdf|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220132-323%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204050147023611%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220132-323%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K242044%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GEI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K242044%22&limit=100,false
PRD-21F6CB5BAC,ERBE,FiAPC plus Probe 2200 A with Filter,20132-321,,historically_authorized_current_status_unresolved,moderate,exact_manufacturer_catalog_number,all_exact_configurations_active,exact_current_listing,exact_510k_clearance,not_searched,,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: not_searched. Marketing authorization is documented separately, but current U.S. distribution is unresolved.",Is the historically authorized exact product currently distributed in the United States?,keep_hidden_insufficient_evidence,https://us.erbe-med.com/fileadmin/user_upload/documents/PDF/Catalogs/complete_Catalogs/85100-100_EN_Product-catalog.pdf|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220132-321%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220132-321%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204050147023536%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K242044%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GEI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K242044%22&limit=100,false
PRD-23EF6EF461,Olympus,OER-Pro Connector Hanger,MAJ-865,,historically_authorized_current_status_unresolved,moderate,exact_manufacturer_model_number,all_exact_configurations_active,exact_current_listing,exact_510k_clearance,family_only_current,,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: family_only_current. Marketing authorization is documented separately, but current U.S. distribution is unresolved.",Is the historically authorized exact product currently distributed in the United States?,keep_hidden_insufficient_evidence,https://medical.olympusamerica.com/customer-resources/cleaning-disinfection-sterilization/reprocessing-products|https://medical.olympusamerica.com/sites/default/files/us/files/pdf/OER-Pro-Brochure.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204953170438325%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22MAJ-865%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22MAJ-865%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K201920%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22FEB%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K201920%22&limit=100,false
PRD-241DE5F6DF,ERBE,"Monopolar Connecting Cable, 3-Pin to 4 mm Socket, 4.5 m",20192-133,,historically_authorized_current_status_unresolved,moderate,exact_manufacturer_catalog_number,all_exact_configurations_active,exact_current_listing,exact_510k_clearance,not_searched,,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: not_searched. Marketing authorization is documented separately, but current U.S. distribution is unresolved.",Is the historically authorized exact product currently distributed in the United States?,keep_hidden_insufficient_evidence,https://us.erbe-med.com/fileadmin/user_upload/documents/PDF/Catalogs/complete_Catalogs/85100-100_EN_Product-catalog.pdf|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220192-133%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220192-133%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204050147014404%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K190823%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GEI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K190823%22&limit=100,false
PRD-2E043ED827,Olympus,Radial Ultrasound Miniature Probe,UM-S20-20R,,historically_authorized_current_status_unresolved,moderate,exact_manufacturer_model_number,all_exact_configurations_active,exact_current_listing,exact_510k_clearance,family_only_current,,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: family_only_current. Marketing authorization is documented separately, but current U.S. distribution is unresolved.",Is the historically authorized exact product currently distributed in the United States?,keep_hidden_insufficient_evidence,https://medical.olympusamerica.com/procedure/peripheral-bronchoscopy-radial-ebus|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204953170078705%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22UM-S20-20R%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22UM-S20-20R%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22UM-S20-20R%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K250762%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOQ%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22ITX%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K250762%22&limit=100,false
PRD-34BAA70074,Olympus,Probe Driving Unit,MAJ-1720,,historically_authorized_current_status_unresolved,moderate,exact_manufacturer_model_number,all_exact_configurations_active,exact_current_listing,exact_510k_clearance,family_only_current,,"Identity method: exact_manufacturer_model_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: family_only_current. Marketing authorization is documented separately, but current U.S. distribution is unresolved.",Is the historically authorized exact product currently distributed in the United States?,keep_hidden_insufficient_evidence,https://medical.olympusamerica.com/procedure/peripheral-bronchoscopy-radial-ebus|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204953170467271%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22MAJ-1720%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22MAJ-1720%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22MAJ-1720%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K243502%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22FET%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22ITX%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22IYN%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22IYO%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22ODG%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K243502%22&limit=100,false
PRD-4896D3D636,ERBE,"Bipolar Connecting Cable, Valleylab 2-Pin 28 mm, 4 m, 2-Pin Forceps",20196-127,,historically_authorized_current_status_unresolved,moderate,exact_manufacturer_catalog_number,all_exact_configurations_active,exact_current_listing,exact_510k_clearance,not_searched,,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: not_searched. Marketing authorization is documented separately, but current U.S. distribution is unresolved.",Is the historically authorized exact product currently distributed in the United States?,keep_hidden_insufficient_evidence,https://us.erbe-med.com/fileadmin/user_upload/documents/PDF/Catalogs/complete_Catalogs/85100-100_EN_Product-catalog.pdf|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220196-127%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204050147011489%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220196-127%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K190823%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GEI%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K190823%22&limit=100,false
