product_id,manufacturer,product_name,catalog_number,model_number,research_state,confidence,identity_match_method,udi_assessment,listing_assessment,authorization_finding,manufacturer_finding,conflict_flags,safety_search_status,safety_action_state,safety_action_scope,safety_action_references,visibility_review_eligibility,rationale,unresolved_questions,proposed_human_review_disposition,source_urls,canonical_change_applied
PRD-019030A1C7,Karl Storz,Aspirator for Collecting Secretions with Cut-Off Hole,10432N,,insufficient_evidence,low,none,no_exact_result,no_result,not_found,family_only_current,,searched,no_exact_action_found,unknown,,not_applicable,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210432+N%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210432+N%22&limit=100,false
PRD-075C3EC5EE,FUJIFILM SonoSite,SonoSite L13-6 Transducer,L13-6,,insufficient_evidence,low,none,no_exact_result,no_result,not_found,not_searched,,not_searched,unknown,unknown,,not_applicable,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: not_searched. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://www.sonosite.com/sites/default/files/Sonosite_LX_product_brochure_MKT03597_US_rev_C.pdf,false
PRD-0A2ABE77F9,Karl Storz,Aspirator for Collecting Secretions without Cut-Off Hole,10432T,,insufficient_evidence,low,none,no_exact_result,no_result,not_found,family_only_current,,searched,no_exact_action_found,unknown,,not_applicable,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210432+T%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210432+T%22&limit=100,false
PRD-129E6C270A,Karl Storz,"Single-Use Plastic Collection Device, Pack of 100",10432ED,,insufficient_evidence,low,none,no_exact_result,no_result,not_found,family_only_current,,searched,no_exact_action_found,unknown,,not_applicable,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210432+ED%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210432+ED%22&limit=100,false
PRD-18D62EB4E8,Richard Wolf,"Fiber Light Cable Bundle, 2.5 mm x 2.3 m",806625231,,insufficient_evidence,low,none,no_exact_result,no_result,not_found,current_non_us,,searched,no_exact_action_found,unknown,,not_applicable,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: current_non_us. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Does the exact current global manufacturer listing apply to the United States despite the ended UDI evidence?|Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22806625231%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22806625231%22&limit=100,false
PRD-1F48992C6C,Cardinal Health,"Argyle PVC Thoracic Catheter – Straight, 20 Fr × 20 in",8888570523,,insufficient_evidence,low,exact_manufacturer_catalog_number,all_exact_configurations_ended,search_incomplete,premarket_exempt,not_searched,,searched,no_exact_action_found,unknown,,not_applicable,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: not_searched. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2210884521050839%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570523%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570523%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570523%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570523%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22JOL%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2220884521050836%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210884521050839%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521149437%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228888570523%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521060831%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2220884521050836%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210884521050839%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228888570523%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521149437%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521060831%22&limit=100,false
PRD-2B8AACAB67,Olympus,EVIS EUS Endoscopic Ultrasound Center EU-ME3,EU-ME3,,insufficient_evidence,low,none,no_exact_result,no_result,not_found,current_exact_official_us_product,,searched,no_exact_action_found,unknown,,not_applicable,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: current_exact_official_us_product. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://medical.olympusamerica.com/procedure/peripheral-bronchoscopy-radial-ebus|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22EU-ME3%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22EU-ME3%22&limit=100,false
PRD-3A27A7B76D,Cardinal Health,"Argyle PVC Thoracic Catheter – Straight, 24 Fr × 20 in",8888570531,,insufficient_evidence,low,exact_manufacturer_catalog_number,all_exact_configurations_ended,search_incomplete,premarket_exempt,not_searched,,searched,no_exact_action_found,unknown,,not_applicable,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: not_searched. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570531%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570531%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570531%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2220884521047126%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570531%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22JOL%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521060848%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210884521047129%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228888570531%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2220884521047126%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521149444%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521149444%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521060848%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228888570531%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2220884521047126%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210884521047129%22&limit=100,false
PRD-3EDAA08D62,Cardinal Health,"Argyle PVC Thoracic Catheter – Straight, 16 Fr × 20 in",8888570515,,insufficient_evidence,low,exact_manufacturer_catalog_number,all_exact_configurations_ended,search_incomplete,premarket_exempt,not_searched,,searched,no_exact_action_found,unknown,,not_applicable,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: not_searched. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570515%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570515%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2210884521050822%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570515%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570515%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22JOL%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2220884521050829%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210884521050822%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521060824%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521149413%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228888570515%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521149413%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521060824%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2220884521050829%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228888570515%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210884521050822%22&limit=100,false
PRD-425DB43083,FUJIFILM SonoSite,SonoSite L12-3 Transducer,L12-3,,insufficient_evidence,low,none,no_exact_result,no_result,not_found,not_searched,,not_searched,unknown,unknown,,not_applicable,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: not_searched. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,"Is there a current official U.S. product page, labeling document, or discontinuation notice for this exact identifier?",keep_hidden_insufficient_evidence,https://www.sonosite.com/sites/default/files/Sonosite_LX_product_brochure_MKT03597_US_rev_C.pdf|https://www.sonosite.com/products/sonosite-px,false
